"filename", "language", "YAML", "Markdown", "Shell Script", "Mermaid Radar", "PowerShell", "Docker", "JavaScript", "Python", "JavaScript JSX", "PostCSS", "MS SQL", "Ini", "Ignore", "pip requirements", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\tests\test_tree_engine.py", "Python", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 119
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\tests\test_vin_lookup.py", "Python", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 100
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docker-compose.yml", "YAML", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 65
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\DDT.md", "Markdown", 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 840
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\GUIA_DEMO.md", "Markdown", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 349
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\diagrams\database-er.mmd", "Mermaid Radar", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 101
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\diagrams\flujo-asistente.mmd", "Mermaid Radar", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\flujos-guiados-control-operativo.md", "Markdown", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 174
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\pruebas-flujos-guiados.md", "Markdown", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 185
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\erDiagram.mmd", "Mermaid Radar", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 134
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 28
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\README.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 9, 14, 106
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Analytics\AnalyticsSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 0, 15, 42, 390
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Analytics\LeftNavSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 11, 41, 467
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Analytics\PdfExport.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 8, 17, 209
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Analytics\SymptomHeatMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 13, 15, 167
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\ChatContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 26, 32, 290
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\InputBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 6, 60
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\MenuOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 12, 13, 205
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\MessageBubble.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 11, 12, 109
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\QuickReplies.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 3, 33
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Chat\RouteHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 5, 50
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\components\Diagnosis\ConfidenceBadge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 3, 24
